"Nombre","Institucion.Evento","Ciudad","Lugar","Formato","Fecha","anio","Tipo","Cantidad","Rol","Links"
"rOpenSci News Digest, April 2023",,,,,"April 2023",2023,"Other",,"Other","https://ropensci.org/blog/2023/04/21/ropensci-news-digest-april-2023/"
"rOpenSci News Digest, March 2023",,,,,"March 2023",2023,"Other",,"Other","https://ropensci.org/blog/2023/03/17/ropensci-news-digest-march-2023/"
"rOpenSci News Digest, February 2023",,,,,"February 2023",2023,"Other",,"Other","https://ropensci.org/blog/2023/02/17/ropensci-news-digest-february-2023/"
"rOpenSci News Digest, January 2023",,,,,"January 2023",2023,"Other",,"Other","https://ropensci.org/blog/2023/01/20/ropensci-news-digest-january-2023/"
"Community Call Multilingual Publishing",,,,,"November 2023",2023,"Event Organization",,"Organizer","https://ropensci.org/commcalls/nov2023-multilingual/"
"Community Call - Proyecto Multilingüe",,,,,"November 2023",2023,"Event Organization",,"Organizer","https://ropensci.org/commcalls/nov2023-multilenguaje/"
"Dinosaurs, Pirates, Spaceships - Embedded Podcast",,,,,"December 2023",2023,"Video/Podcast",,"Participant","https://embedded.fm/episodes/465"
"rOpenSci: Ciencia abierta con R",,,,,"November 2023",2023,"Talk",,"Speaker","https://youtu.be/iFf6v4SZvR0"
"R-Ladies Project Lead ",,,,,"December 2023",2023,"Other",,"Other","https://rladies.org/"
"Member The Carpentries Executive Council and Board of Directors",,,,,"December 2023",2023,"Other",,"Other","https://carpentries.org/"
" Member R Consortium Infrastructure Steering Committee,",,,,,"December 2023",2023,"Other",,"Other","https://www.r-consortium.org/about/governance"
"Research Software Camp Steering Committee",,,,"Online","December 2023",2023,"Other",,"Other","https://www.software.ac.uk/training/research-software-camps"
